[2025-12-03T16:43:23.793Z] Starting NASB1995 text cleaning...
[2025-12-03T16:43:23.798Z] Input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T16:43:23.798Z] Output file: C:\WindSurf\ohbc_website\scripts\NASB1995_cleaned.txt
[2025-12-03T16:43:23.815Z] Processing 32472 lines...
[2025-12-03T16:43:23.815Z] Found book: GENESIS
[2025-12-03T16:43:23.834Z] Found book: EXODUS
[2025-12-03T16:43:23.838Z] Found book: EXODUS
[2025-12-03T16:43:23.844Z] Found book: LEVITICUS
[2025-12-03T16:43:23.848Z] Found book: NUMBERS
[2025-12-03T16:43:23.853Z] Found book: JOSHUA
[2025-12-03T16:43:23.854Z] Found book: DEUTERONOMY
[2025-12-03T16:43:23.860Z] Found book: JOSHUA
[2025-12-03T16:43:23.861Z] Found book: JOSHUA
[2025-12-03T16:43:23.861Z] Found book: JOSHUA
[2025-12-03T16:43:23.863Z] Found book: JOSHUA
[2025-12-03T16:43:23.865Z] Found book: JOSHUA
[2025-12-03T16:43:23.865Z] Found book: JOSHUA
[2025-12-03T16:43:23.865Z] Found book: JUDGES
[2025-12-03T16:43:23.866Z] Found book: JOSHUA
[2025-12-03T16:43:23.866Z] Found book: JOSHUA
[2025-12-03T16:43:23.869Z] Found book: MICAH
[2025-12-03T16:43:23.870Z] Found book: RUTH
[2025-12-03T16:43:23.870Z] Found book: RUTH
[2025-12-03T16:43:23.870Z] Found book: RUTH
[2025-12-03T16:43:23.870Z] Found book: 1 SAMUEL
[2025-12-03T16:43:23.876Z] Found book: 2 SAMUEL
[2025-12-03T16:43:23.880Z] Found book: 1 KINGS
[2025-12-03T16:43:23.883Z] Found book: OBADIAH
[2025-12-03T16:43:23.885Z] Found book: 2 KINGS
[2025-12-03T16:43:23.887Z] Found book: ZECHARIAH
[2025-12-03T16:43:23.887Z] Found book: ZECHARIAH
[2025-12-03T16:43:23.888Z] Found book: ISAIAH
[2025-12-03T16:43:23.890Z] Found book: 1 CHRONICLES
[2025-12-03T16:43:23.897Z] Found book: 2 CHRONICLES
[2025-12-03T16:43:23.903Z] Found book: EZRA
[2025-12-03T16:43:23.904Z] Found book: EZRA
[2025-12-03T16:43:23.904Z] Found book: EZRA
[2025-12-03T16:43:23.905Z] Found book: NEHEMIAH
[2025-12-03T16:43:23.905Z] Found book: NEHEMIAH
[2025-12-03T16:43:23.905Z] Found book: NEHEMIAH
[2025-12-03T16:43:23.906Z] Found book: NEHEMIAH
[2025-12-03T16:43:23.906Z] Found book: NEHEMIAH
