[2025-12-03T15:58:41.828Z] Starting NASB1995 cleanup (v4)...
[2025-12-03T15:58:41.835Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:58:41.853Z] Starting Bible text cleanup...
[2025-12-03T15:58:41.860Z] Found book: GENESIS
[2025-12-03T15:58:41.861Z] Found chapter: 1
[2025-12-03T15:58:41.861Z] Found chapter: 2
[2025-12-03T15:58:41.862Z] Found chapter: 3
[2025-12-03T15:58:41.862Z] Found chapter: 4
[2025-12-03T15:58:41.863Z] Found chapter: 5
[2025-12-03T15:58:41.863Z] Found chapter: 6
[2025-12-03T15:58:41.864Z] Found chapter: 7
[2025-12-03T15:58:41.864Z] Found chapter: 8
[2025-12-03T15:58:41.866Z] Found chapter: 9
[2025-12-03T15:58:41.866Z] Found chapter: 10
[2025-12-03T15:58:41.867Z] Found chapter: 11
[2025-12-03T15:58:41.867Z] Found chapter: 12
[2025-12-03T15:58:41.867Z] Found chapter: 13
[2025-12-03T15:58:41.868Z] Found chapter: 14
[2025-12-03T15:58:41.868Z] Found chapter: 15
[2025-12-03T15:58:41.868Z] Found chapter: 16
[2025-12-03T15:58:41.869Z] Found chapter: 17
[2025-12-03T15:58:41.869Z] Found chapter: 18
[2025-12-03T15:58:41.869Z] Found chapter: 19
[2025-12-03T15:58:41.870Z] Found chapter: 20
[2025-12-03T15:58:41.870Z] Found chapter: 21
[2025-12-03T15:58:41.870Z] Found chapter: 22
[2025-12-03T15:58:41.871Z] Found chapter: 23
[2025-12-03T15:58:41.871Z] Found chapter: 24
[2025-12-03T15:58:41.872Z] Found chapter: 25
[2025-12-03T15:58:41.872Z] Found chapter: 26
[2025-12-03T15:58:41.873Z] Found chapter: 27
[2025-12-03T15:58:41.873Z] Found chapter: 28
[2025-12-03T15:58:41.873Z] Found chapter: 29
[2025-12-03T15:58:41.873Z] Found chapter: 30
[2025-12-03T15:58:41.874Z] Found chapter: 31
[2025-12-03T15:58:41.874Z] Found chapter: 32
[2025-12-03T15:58:41.874Z] Found chapter: 33
[2025-12-03T15:58:41.875Z] Found chapter: 34
[2025-12-03T15:58:41.875Z] Found chapter: 35
[2025-12-03T15:58:41.875Z] Found chapter: 36
[2025-12-03T15:58:41.876Z] Found chapter: 37
[2025-12-03T15:58:41.876Z] Found chapter: 38
[2025-12-03T15:58:41.876Z] Found chapter: 39
[2025-12-03T15:58:41.877Z] Found chapter: 40
