[2025-12-03T16:00:03.154Z] Starting NASB1995 cleanup (v5)...
[2025-12-03T16:00:03.160Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T16:00:03.178Z] Starting Bible text cleanup...
[2025-12-03T16:00:03.179Z] Preprocessing content to join wrapped lines...
[2025-12-03T16:00:03.209Z] Found book: GENESIS
[2025-12-03T16:00:03.210Z] Found chapter: 1
[2025-12-03T16:00:03.211Z] Found chapter: 2
[2025-12-03T16:00:03.211Z] Found chapter: 3
[2025-12-03T16:00:03.212Z] Found chapter: 4
[2025-12-03T16:00:03.212Z] Found chapter: 5
[2025-12-03T16:00:03.213Z] Found chapter: 6
[2025-12-03T16:00:03.214Z] Found chapter: 7
[2025-12-03T16:00:03.214Z] Found chapter: 8
[2025-12-03T16:00:03.214Z] Found chapter: 9
[2025-12-03T16:00:03.215Z] Found chapter: 10
[2025-12-03T16:00:03.215Z] Found chapter: 11
[2025-12-03T16:00:03.216Z] Found chapter: 12
[2025-12-03T16:00:03.216Z] Found chapter: 13
[2025-12-03T16:00:03.216Z] Found chapter: 14
[2025-12-03T16:00:03.217Z] Found chapter: 15
[2025-12-03T16:00:03.217Z] Found chapter: 16
[2025-12-03T16:00:03.217Z] Found chapter: 17
[2025-12-03T16:00:03.218Z] Found chapter: 18
[2025-12-03T16:00:03.218Z] Found chapter: 19
[2025-12-03T16:00:03.218Z] Found chapter: 20
[2025-12-03T16:00:03.219Z] Found chapter: 21
[2025-12-03T16:00:03.219Z] Found chapter: 22
[2025-12-03T16:00:03.220Z] Found chapter: 23
[2025-12-03T16:00:03.220Z] Found chapter: 24
[2025-12-03T16:00:03.220Z] Found chapter: 25
[2025-12-03T16:00:03.221Z] Found chapter: 26
[2025-12-03T16:00:03.221Z] Found chapter: 27
[2025-12-03T16:00:03.221Z] Found chapter: 28
[2025-12-03T16:00:03.221Z] Found chapter: 29
[2025-12-03T16:00:03.222Z] Found chapter: 30
[2025-12-03T16:00:03.222Z] Found chapter: 31
[2025-12-03T16:00:03.222Z] Found chapter: 32
[2025-12-03T16:00:03.223Z] Found chapter: 33
[2025-12-03T16:00:03.223Z] Found chapter: 34
[2025-12-03T16:00:03.223Z] Found chapter: 35
[2025-12-03T16:00:03.224Z] Found chapter: 36
[2025-12-03T16:00:03.224Z] Found chapter: 37
[2025-12-03T16:00:03.225Z] Found chapter: 38
[2025-12-03T16:00:03.225Z] Found chapter: 39
[2025-12-03T16:00:03.225Z] Found chapter: 40
[2025-12-03T16:00:03.225Z] Found chapter: 41
[2025-12-03T16:00:03.226Z] Found chapter: 42
[2025-12-03T16:00:03.226Z] Found chapter: 43
[2025-12-03T16:00:03.226Z] Found chapter: 44
[2025-12-03T16:00:03.227Z] Found chapter: 45
[2025-12-03T16:00:03.227Z] Found chapter: 46
[2025-12-03T16:00:03.227Z] Found chapter: 47
[2025-12-03T16:00:03.228Z] Found chapter: 48
[2025-12-03T16:00:03.228Z] Found chapter: 49
[2025-12-03T16:00:03.228Z] Found chapter: 50
[2025-12-03T16:00:03.229Z] Found book: End of GENESIS
[2025-12-03T16:00:03.229Z] Found book: EXODUS
[2025-12-03T16:00:03.229Z] Found chapter: 1
[2025-12-03T16:00:03.230Z] Found chapter: 2
[2025-12-03T16:00:03.230Z] Found chapter: 3
[2025-12-03T16:00:03.230Z] Found chapter: 4
[2025-12-03T16:00:03.230Z] Found chapter: 5
[2025-12-03T16:00:03.231Z] Found chapter: 6
[2025-12-03T16:00:03.231Z] Found chapter: 7
[2025-12-03T16:00:03.231Z] Found chapter: 8
[2025-12-03T16:00:03.232Z] Found chapter: 9
[2025-12-03T16:00:03.232Z] Found chapter: 10
[2025-12-03T16:00:03.233Z] Found chapter: 11
[2025-12-03T16:00:03.233Z] Found chapter: 12
[2025-12-03T16:00:03.233Z] Found chapter: 13
[2025-12-03T16:00:03.234Z] Found chapter: 14
[2025-12-03T16:00:03.234Z] Found chapter: 15
[2025-12-03T16:00:03.234Z] Found chapter: 16
[2025-12-03T16:00:03.235Z] Found chapter: 17
[2025-12-03T16:00:03.235Z] Found chapter: 18
[2025-12-03T16:00:03.235Z] Found chapter: 19
[2025-12-03T16:00:03.236Z] Found chapter: 20
[2025-12-03T16:00:03.236Z] Found chapter: 21
[2025-12-03T16:00:03.236Z] Found chapter: 22
[2025-12-03T16:00:03.237Z] Found chapter: 23
[2025-12-03T16:00:03.237Z] Found chapter: 24
[2025-12-03T16:00:03.237Z] Found chapter: 25
[2025-12-03T16:00:03.238Z] Found chapter: 26
