[2025-12-03T15:56:50.419Z] Starting NASB1995 cleanup (v3)...
[2025-12-03T15:56:50.426Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:56:50.439Z] Starting Bible text cleanup...
[2025-12-03T15:56:50.446Z] Found book: GENESIS
[2025-12-03T15:56:50.447Z] Found chapter: 1
[2025-12-03T15:56:50.448Z] Found chapter: 2
[2025-12-03T15:56:50.448Z] Found chapter: 3
[2025-12-03T15:56:50.449Z] Found chapter: 4
[2025-12-03T15:56:50.449Z] Found chapter: 5
[2025-12-03T15:56:50.450Z] Found chapter: 6
[2025-12-03T15:56:50.450Z] Found chapter: 7
[2025-12-03T15:56:50.450Z] Found chapter: 8
[2025-12-03T15:56:50.451Z] Found chapter: 9
[2025-12-03T15:56:50.451Z] Found chapter: 10
[2025-12-03T15:56:50.452Z] Found chapter: 11
[2025-12-03T15:56:50.452Z] Found chapter: 12
[2025-12-03T15:56:50.452Z] Found chapter: 13
[2025-12-03T15:56:50.453Z] Found chapter: 14
[2025-12-03T15:56:50.453Z] Found chapter: 15
[2025-12-03T15:56:50.453Z] Found chapter: 16
[2025-12-03T15:56:50.454Z] Found chapter: 17
[2025-12-03T15:56:50.454Z] Found chapter: 18
[2025-12-03T15:56:50.454Z] Found chapter: 19
[2025-12-03T15:56:50.455Z] Found chapter: 20
[2025-12-03T15:56:50.455Z] Found chapter: 21
[2025-12-03T15:56:50.455Z] Found chapter: 22
[2025-12-03T15:56:50.456Z] Found chapter: 23
[2025-12-03T15:56:50.456Z] Found chapter: 24
[2025-12-03T15:56:50.456Z] Found chapter: 25
[2025-12-03T15:56:50.457Z] Found chapter: 26
[2025-12-03T15:56:50.457Z] Found chapter: 27
[2025-12-03T15:56:50.457Z] Found chapter: 28
[2025-12-03T15:56:50.458Z] Found chapter: 29
[2025-12-03T15:56:50.458Z] Found chapter: 30
[2025-12-03T15:56:50.459Z] Found chapter: 31
[2025-12-03T15:56:50.459Z] Found chapter: 32
[2025-12-03T15:56:50.459Z] Found chapter: 33
[2025-12-03T15:56:50.460Z] Found chapter: 34
[2025-12-03T15:56:50.460Z] Found chapter: 35
[2025-12-03T15:56:50.461Z] Found chapter: 36
[2025-12-03T15:56:50.461Z] Found chapter: 37
[2025-12-03T15:56:50.461Z] Found chapter: 38
[2025-12-03T15:56:50.462Z] Found chapter: 39
[2025-12-03T15:56:50.462Z] Found chapter: 40
[2025-12-03T15:56:50.462Z] Found chapter: 41
[2025-12-03T15:56:50.463Z] Found chapter: 42
[2025-12-03T15:56:50.463Z] Found chapter: 43
[2025-12-03T15:56:50.464Z] Found chapter: 44
[2025-12-03T15:56:50.464Z] Found chapter: 45
[2025-12-03T15:56:50.464Z] Found chapter: 46
[2025-12-03T15:56:50.465Z] Found chapter: 47
[2025-12-03T15:56:50.465Z] Found chapter: 48
[2025-12-03T15:56:50.465Z] Found chapter: 49
[2025-12-03T15:56:50.466Z] Found chapter: 50
[2025-12-03T15:56:50.466Z] Found book: End of GENESIS
[2025-12-03T15:56:50.466Z] Found book: EXODUS
[2025-12-03T15:56:50.467Z] Found chapter: 1
[2025-12-03T15:56:50.467Z] Found chapter: 2
[2025-12-03T15:56:50.467Z] Found chapter: 3
[2025-12-03T15:56:50.468Z] Found chapter: 4
[2025-12-03T15:56:50.468Z] Found chapter: 5
[2025-12-03T15:56:50.468Z] Found chapter: 6
[2025-12-03T15:56:50.469Z] Found chapter: 7
[2025-12-03T15:56:50.469Z] Found chapter: 8
[2025-12-03T15:56:50.469Z] Found chapter: 9
[2025-12-03T15:56:50.470Z] Found chapter: 10
[2025-12-03T15:56:50.470Z] Found chapter: 11
[2025-12-03T15:56:50.470Z] Found chapter: 12
[2025-12-03T15:56:50.471Z] Found chapter: 13
[2025-12-03T15:56:50.471Z] Found chapter: 14
[2025-12-03T15:56:50.471Z] Found chapter: 15
[2025-12-03T15:56:50.472Z] Found chapter: 16
[2025-12-03T15:56:50.472Z] Found chapter: 17
