[2025-12-03T16:16:24.872Z] Starting robust extraction from NASB1995.txt...
[2025-12-03T16:16:24.880Z] File size: 4335776 bytes
[2025-12-03T16:16:24.890Z] Found 32472 lines in the file
[2025-12-03T16:16:24.890Z] Found book: GENESIS
[2025-12-03T16:16:24.891Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.891Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.891Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.893Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.893Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.894Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.894Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.894Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.894Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.894Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.895Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.895Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.895Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.896Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.896Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.896Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.896Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.896Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.897Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.897Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.897Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.898Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.898Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.899Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.899Z] Found chapter: Chapter 25
[2025-12-03T16:16:24.900Z] Found chapter: Chapter 26
[2025-12-03T16:16:24.900Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.900Z] Found chapter: Chapter 28
[2025-12-03T16:16:24.901Z] Found chapter: Chapter 29
[2025-12-03T16:16:24.901Z] Found chapter: Chapter 30
[2025-12-03T16:16:24.901Z] Found chapter: Chapter 31
[2025-12-03T16:16:24.901Z] Found chapter: Chapter 32
[2025-12-03T16:16:24.902Z] Found chapter: Chapter 33
[2025-12-03T16:16:24.902Z] Found chapter: Chapter 34
[2025-12-03T16:16:24.902Z] Found chapter: Chapter 35
[2025-12-03T16:16:24.902Z] Found chapter: Chapter 36
[2025-12-03T16:16:24.902Z] Found chapter: Chapter 37
[2025-12-03T16:16:24.903Z] Found chapter: Chapter 38
[2025-12-03T16:16:24.903Z] Found chapter: Chapter 39
[2025-12-03T16:16:24.903Z] Found chapter: Chapter 40
[2025-12-03T16:16:24.903Z] Found chapter: Chapter 41
[2025-12-03T16:16:24.904Z] Found chapter: Chapter 42
[2025-12-03T16:16:24.904Z] Found chapter: Chapter 43
[2025-12-03T16:16:24.904Z] Found chapter: Chapter 44
[2025-12-03T16:16:24.904Z] Found chapter: Chapter 45
[2025-12-03T16:16:24.905Z] Found chapter: Chapter 46
[2025-12-03T16:16:24.905Z] Found chapter: Chapter 47
[2025-12-03T16:16:24.905Z] Found chapter: Chapter 48
[2025-12-03T16:16:24.905Z] Found chapter: Chapter 49
[2025-12-03T16:16:24.906Z] Found chapter: Chapter 50
[2025-12-03T16:16:24.906Z] Found book: End of GENESIS
[2025-12-03T16:16:24.906Z] Found book: EXODUS
[2025-12-03T16:16:24.906Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.906Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.906Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.907Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.907Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.907Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.907Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.908Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.908Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.908Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.908Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.908Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.909Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.909Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.910Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.910Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.910Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.910Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.911Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.911Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.911Z] Processed 1000 of 32472 lines...
[2025-12-03T16:16:24.911Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.911Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.912Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.912Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.912Z] Found chapter: Chapter 25
[2025-12-03T16:16:24.912Z] Found chapter: Chapter 26
[2025-12-03T16:16:24.913Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.913Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.913Z] Found chapter: Chapter 28
[2025-12-03T16:16:24.913Z] Found chapter: Chapter 29
[2025-12-03T16:16:24.914Z] Found chapter: Chapter 30
[2025-12-03T16:16:24.914Z] Found chapter: Chapter 31
[2025-12-03T16:16:24.914Z] Found chapter: Chapter 32
[2025-12-03T16:16:24.915Z] Found chapter: Chapter 33
[2025-12-03T16:16:24.915Z] Found chapter: Chapter 34
[2025-12-03T16:16:24.915Z] Found chapter: Chapter 35
[2025-12-03T16:16:24.916Z] Found chapter: Chapter 36
[2025-12-03T16:16:24.916Z] Found chapter: Chapter 37
[2025-12-03T16:16:24.916Z] Found chapter: Chapter 38
[2025-12-03T16:16:24.916Z] Found chapter: Chapter 39
[2025-12-03T16:16:24.916Z] Found chapter: Chapter 40
[2025-12-03T16:16:24.917Z] Found book: End of EXODUS
[2025-12-03T16:16:24.917Z] Found book: LEVITICUS
[2025-12-03T16:16:24.917Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.917Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.917Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.917Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.918Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.918Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.918Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.918Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.919Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.919Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.919Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.919Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.919Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.920Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.920Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.920Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.920Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.920Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.921Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.921Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.921Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.921Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.921Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.922Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.922Z] Found chapter: Chapter 25
[2025-12-03T16:16:24.922Z] Found chapter: Chapter 26
[2025-12-03T16:16:24.922Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.922Z] Found book: End of LEVITICUS
[2025-12-03T16:16:24.923Z] Found book: NUMBERS
[2025-12-03T16:16:24.923Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.923Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.923Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.924Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.924Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.924Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.924Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.924Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.925Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.925Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.925Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.925Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.925Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.926Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.926Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.926Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.926Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.926Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.927Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.927Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.927Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.927Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.928Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.928Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.928Z] Found chapter: Chapter 25
[2025-12-03T16:16:24.928Z] Found chapter: Chapter 26
[2025-12-03T16:16:24.928Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.929Z] Found chapter: Chapter 28
[2025-12-03T16:16:24.929Z] Found chapter: Chapter 29
[2025-12-03T16:16:24.929Z] Processed 2000 of 32472 lines...
[2025-12-03T16:16:24.929Z] Found chapter: Chapter 30
[2025-12-03T16:16:24.929Z] Found chapter: Chapter 31
[2025-12-03T16:16:24.930Z] Found chapter: Chapter 32
[2025-12-03T16:16:24.930Z] Found chapter: Chapter 33
[2025-12-03T16:16:24.930Z] Found chapter: Chapter 34
[2025-12-03T16:16:24.930Z] Found chapter: Chapter 35
[2025-12-03T16:16:24.931Z] Found chapter: Chapter 36
[2025-12-03T16:16:24.931Z] Found book: End of NUMBERS
[2025-12-03T16:16:24.931Z] Found book: DEUTERONOMY
[2025-12-03T16:16:24.931Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.932Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.932Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.932Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.932Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.933Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.933Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.933Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.933Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.934Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.934Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.934Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.934Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.935Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.935Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.935Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.935Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.935Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.936Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.936Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.936Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.936Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.937Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.937Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.937Z] Found chapter: Chapter 25
[2025-12-03T16:16:24.937Z] Found chapter: Chapter 26
[2025-12-03T16:16:24.937Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.938Z] Found chapter: Chapter 28
[2025-12-03T16:16:24.938Z] Found chapter: Chapter 29
[2025-12-03T16:16:24.938Z] Found chapter: Chapter 30
[2025-12-03T16:16:24.938Z] Found chapter: Chapter 31
[2025-12-03T16:16:24.939Z] Found chapter: Chapter 32
[2025-12-03T16:16:24.939Z] Found chapter: Chapter 33
[2025-12-03T16:16:24.939Z] Found chapter: Chapter 34
[2025-12-03T16:16:24.939Z] Found book: End of DEUTERONOMY
[2025-12-03T16:16:24.939Z] Found book: JOSHUA
[2025-12-03T16:16:24.940Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.940Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.940Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.940Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.940Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.940Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.941Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.941Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.941Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.941Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.942Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.942Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.942Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.942Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.942Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.942Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.943Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.943Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.943Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.943Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.943Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.944Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.944Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.944Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.944Z] Found book: End of JOSHUA
[2025-12-03T16:16:24.944Z] Found book: JUDGES
[2025-12-03T16:16:24.944Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.945Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.945Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.945Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.945Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.946Z] Processed 3000 of 32472 lines...
[2025-12-03T16:16:24.946Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.947Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.947Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.947Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.948Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.948Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.948Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.948Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.948Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.949Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.949Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.949Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.949Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.949Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.950Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.950Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.950Z] Found book: End of JUDGES
[2025-12-03T16:16:24.950Z] Found book: RUTH
[2025-12-03T16:16:24.950Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.950Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.951Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.951Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.951Z] Found book: End of RUTH
[2025-12-03T16:16:24.951Z] Found book: 1 SAMUEL
[2025-12-03T16:16:24.951Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.951Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.952Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.952Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.952Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.952Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.953Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.953Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.953Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.953Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.953Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.953Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.954Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.954Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.954Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.955Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.955Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.955Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.955Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.956Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.956Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.956Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.957Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.957Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.957Z] Found chapter: Chapter 25
[2025-12-03T16:16:24.958Z] Found chapter: Chapter 26
[2025-12-03T16:16:24.958Z] Found chapter: Chapter 27
[2025-12-03T16:16:24.958Z] Found chapter: Chapter 28
[2025-12-03T16:16:24.958Z] Found chapter: Chapter 29
[2025-12-03T16:16:24.959Z] Found chapter: Chapter 30
[2025-12-03T16:16:24.959Z] Found chapter: Chapter 31
[2025-12-03T16:16:24.959Z] Found book: End of 1 SAMUEL
[2025-12-03T16:16:24.959Z] Found book: 2 SAMUEL
[2025-12-03T16:16:24.959Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.959Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.960Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.960Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.960Z] Found chapter: Chapter 5
